NAME	AUTHOR	PLATFORM	VERSIONS	VB	COMPILE	FILE	DUPLICATES	PASSWORD
accom2	fifa	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/accom2.zip	2	
ACID	None	AOL	2.5	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/acid.zip	2	
Acid Fader	Festa	AOL	5.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/acid fader for aol 6.0.zip	2	
Acid Snow	Knúcklës	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/acidsnow.zip	2	
ACID_FIN	AciD	AOL	2.5	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/acid_fin.zip	2	
AcidIdle	c0mp	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/acididle.zip	2	
acidlag	D0wN	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/acid lagger aol7-9 win98-xp yr04.zip	2	
acidlagger	D0wN	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/acid lagger v2.0 aol7-9 win98-xp yr04.zip	4	
acidtox	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/acid tox mm'er for aol 5.0.zip	2	
ac² idlè	shøck	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ac2idle.zip	2	
Added 1.0	z0ne	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/added 1.0 for aol 9.0 winXP yr08.zip	2	
adidastoolz	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/adidas toolz aol5 yr2000 password=poiuyt.zip	2	poiuyt
advert	praz	AOL	6.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/6.0/protonix.zip	2	
advertiser	None	AOL	unknown	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/mahfurstad.zip	2	
Aethyal's Server Assistant	entering	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aethyal.zip	2	
afc	None	AOL	5.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/kaos forever afc for aol 5.0.zip	1	
afk	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/afk for aol 4.0 and 5.0.zip	1	
Aimism	None	AOL	6.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/6.0/aimism aolALL.zip	1	
Akira Coms	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/akiracoms.zip	2	
Akira Coms² Beta²	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/akiracoms2.zip	2	
Alarm Clock	z0ne	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alarm clock for aol 9.0 winXP yr08.zip	2	
alien	nocturnal	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alien.zip	2	
alien30	None	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alien 3.0 for aol 4.0.zip	2	
aligator6	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alligator.zip	2	
alive v1	CpRide	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alivev1.zip	2	
Alive2	CpRide	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alive2.zip	2	
Alpha Ccoms v2	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alpha ccoms 2 aol4-5.zip	1	
alpha toser	Chr0me	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alphatoser.zip	3	
Alpha2~1	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alpha2k.zip	2	
alpha3k buster	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alpha 3k.zip	1	
Alpha3k mp3 player	None	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alpha3kmp3.zip	2	
Alpha3k mp3 player 2	None	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alpha3kmp32.zip	2	
Alphah~1	Alpha	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alphafade.zip	2	
alQaeda-ol	vito	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/alqaedaol.zip	2	
America Onfire Platinum	None	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/americaonfire.zip	2	
American Idle	Nick	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/americanidle.zip	2	
amex first program	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/amex.zip	2	
amplimax	None	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/amplim36.zip	2	
amx	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/amx idler.zip	1	
Anal Predator	Myke	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/analpredator.zip	2	
Anal Rapage IM Answerer	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/analrapage.zip	2	
Anarchy	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anarchy for aol 4.0.zip	1	
Anarki	InCuBuS	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anarki.zip	2	
Anarki~4	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anarki2.zip	2	
Ancient Tech	adam k	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ancienttech.zip	2	
and one final	None	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/andonefinal mp3 ccom.zip	4	
anexbust	going	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anexbust.zip	2	
Anger management	morph	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/angermanage.zip	2	
animatrix idle by spermie	spermie	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/animatrixidle.zip	2	
Anime Inc - Linker	Alpha	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/animeinc.zip	2	
annihilation	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/annihilation.zip	2	
AnNoYeRz	BaDaSs	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/annoyerz.zip	2	
AnswerPro	None	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/answerpro.zip	2	
Anthrax	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anthrax for aol 4.0.zip	1	
ANTI	ZiG & MaN	AOL	3.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/3.0/antierror.zip	2	
anti	None	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/digitaliceanti.zip	2	
anti	None	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/digitaliceanti2.zip	2	
anti	IZED TO INSTALL	AOL	4.0	non-VB	n/a	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/momosidler.zip	2	
ANTI	RiVeN	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/rivens unbeatable anti.zip	3	
Anti Lag by k1d	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/antilagbyk1d.zip	5	
aNti laMer t00Lz ¦+¦	clicking	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anti lamer toolz 1 ccom aol5.zip	2	
Anti PUNT	Twizted	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/poa anti punter.zip	3	
Anti-Freeze 2.o	None	AOL	2.5	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/anti-freeze mm'er 2.0.zip	1	
anti4	WurM	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anti4.zip	2	
Anti_Lag	Chr0me	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anti lag aol7-9 yr2006 2kxp.zip	3	
Antilag	z0ne	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/antilag.zip	3	
ANTIV1_0	None	AOL	5.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/anti v%b9%b7%ba for aol 5.0 and 6.0.zip	1	
AO-5.0 Upchat	spock	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ao-5.0 for aol 5.0.zip	2	
Ao-Idle 2k3	nrod	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aoidle2k3.zip	2	
ao`linker - by miguel	miguel	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ao`linker for aol 7.0 and 8.0 winALL yr04.zip	2	
AoAsCii Shop	firestorm	AOL	2.5	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/aoascii.zip	3	
AoAsCii Shop 2	firestorm	AOL	2.5	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/aoasci2.zip	2	
Aoassasins IMA	Alpha	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aoimmachine.zip	2	
Aoassasins Toolz	Alpha	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aoassasin.zip	2	
Aoassasins Toolz v2	Alpha	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aoassasin2.zip	2	
aocoms3	Then	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aocoms.zip	2	
aocrack	sino	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aocrack.zip	2	
aodirc 0.6.0	Init failed (%d	AOL	unknown	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/aodirc 0.6.0 for aol 7.0-9 win95-XP yr04.zip	2	
aodirc v0.5.85	zero	AOL	unknown	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/aodirc v0.5.85 for aol 7.0-9 win95-XP yr04.zip	2	
aodirc0615	None	AOL	7.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/7.0/aodirc 0.6.15 for aol 7.0-9 win95-XP yr04.zip	1	
AOEVIL	entering	AOL	2.5	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/aoevil.zip	2	
AoFader	Alpha	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aofader.zip	2	
AOHell 95 v3.0	Da Chronic	AOL	2.5	VB3	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/2.5/aohell 95 for aol 2.5-3.0.zip	4	
AOL 5 Update Closer	Trip	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aol5udclose.zip	2	
aol 7 idle	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aol7idle.zip	2	
AOL Account Cracker 1.2.4	None	AOL	unknown	VB6	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/aol account cracker 1.2.4 .zip	2	
Aol Easy Talk	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aoleasytalk.zip	2	
AOL File Downloader v5.0	SPiKyDePhAiR [sPiKe	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aolfiledlv5.zip	2	
AOL FUN	Coolryguy	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aolfun.zip	2	
AOL FUN 2.0	Coolryguy	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aolfun2.zip	2	
AoL Guilt	Vlad	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/comsofguilt.zip	2	
AoL IdLe TooLz	Speeed	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aolidle.zip	2	
AoL Idle TooLz Ver2	Speed	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aolidle2.zip	2	
AOL proggy	James	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/revtoolz.zip	2	
aol7roombuster	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/drsubsbuster.zip	2	
AOLTOOLS	People Connection	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aoltools.zip	2	
AOLVoiceChat	None	AOL	4.0	VB5	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aolvoicechat.zip	2	
aonetwork	knetic	AOL	unknown	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/AoNetwork.zip	3	
aophish	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ao phishbowl.zip	1	
AOPuNk v1.0	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aopunk.zip	2	
AoWIdler	None	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aowidler.zip	2	
APESH25	ization	AOL	3.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/3.0/APESH25.zip	2	
apoc	apocalypse	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/apocalypse password cracker .zip	2	cracker
App Sender	platinum	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/appsender.zip	2	
aquard2k2	FON	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aquard2k2.zip	2	
aquard3	This product is from FON	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aquard3.zip	2	
Aquariumv2	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aquariumv2.zip	2	
Arctic	None	AOL	5.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/arctic idle for aol 5.0 year2000.zip	1	
Arctic Punter²	None	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/arcticpunter2.zip	2	
argon	haLe	AOL	4.0	VB4-16	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/argon termer password=85203.zip	3	85203
armag	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/armageddon 1 im for aol 4.0.zip	1	
armatech	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/armatech for aol 6.0.zip	1	
armatech xp	t3k	AOL	unknown	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/armatechxp.zip	2	
Armegedon Beta1 By Google	Google	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/armegedon.zip	2	
ascii	MoPaR	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ashelp.zip	2	
ascii creator by_krepe	by_krepe	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/unsolvedascii.zip	2	
ASCII SHOP	None	AOL	unknown	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/oddballascii.zip	2	
asciishop	Bizkit	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/asciishop.zip	2	
ASN	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/auto save notepad version 1.0.zip	1	
Ass Idler	None	AOL	4.0	VB6	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/assidler.zip	2	
asshole toolz	None	AOL	4.0	VB5	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/asshole.zip	2	
assist	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/assist.zip	2	
Asteel~1	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/asteelemm.zip	2	
Astronomicon 2.0	Dyce	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/astro2.zip	2	
Atomic C-Coms	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/atomccom.zip	2	
AtomicFader	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/atomicfader.zip	2	
atos30	gizm	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/advisory termer.zip	3	
atoyz10	None	AOL	3.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/3.0/ace toyz 1.0.zip	1	
atrocity	GenOziDe	AOL	4.0	VB3	p-code	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/atrocity.zip	2	
audio packets beta	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/audio packets beta1.zip	1	
audio x	None	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/audiox.zip	2	zzeerr00
audio-assault	None	AOL	5.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/audio-assault aol4-5.zip	1	
audio-assault²	None	AOL	5.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/audio-assault 2 aol4-5.zip	1	
audio.style	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/audio.style aol7-8 xp yr2003.zip	2	
audiotech system by spermie	spermie	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/audiotechsystem.zip	2	
Aurora	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aurora macro studios.zip	1	
Aurora MMer	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aurora.zip	2	
Auto X 2000	Intricate	AOL	4.0	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/autox2000.zip	2	
auto_flasher	teck	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/autoflasher.zip	2	
autolink	None	AOL	4.0	unknown	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/auto-linker for aol 4.0 and 5.0.zip	1	
avakadavra toolz 1.o	AVAKADAVRA	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/avakadavra.zip	2	
AviE dl later	knot	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aviedllater.zip	2	
AviE MMer	chichis & knot	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/aviemmer.zip	2	
AwAy2k Beta2	None	AOL	unknown	VB4-32	unknown	programs/AOL/proggies-sorted-deduped/proggies-by-version/unknown/away2kbeta2.zip	2	
axis-link	axis	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/axislink.zip	2	
àñtì-làg by [kìD]	None	AOL	4.0	VB6	native	programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/anti-lag by kid  aol7-9 winXP yr06.zip	2	
